videoID,subjectID
6cf1f250,973
bc236028,952
af04f55f,891
ba750c21,843
37bf43cb,723
b9d562ba,502
f0847247,899
8e524249,682
4010697e,593
6ce20f44,933
201b36cc,949
01872882,519
741f6f86,523
d32330a1,658
a369262a,687
e07953a7,638
b016acc1,918
56d516fb,833
32038dd4,669
58129b40,839
96c7a3fe,750
0477d77d,625
fd75a3a4,803
60f369e1,954
6d2eade5,521
74bbb3da,683
95722903,885
70d7a265,933
0c3158a4,990
77c6d81e,781
b0dd1a97,975
e9e69655,675
3c35469e,895
09ba10c0,975
ed447475,549
445e7003,919
e7b86752,530
3d571ca9,508
6db4a60a,542
9cc6c111,545
432c8ba2,792
263c27e5,985
2c3aa92f,885
d3408eab,774
18004a57,751
dd77ad1f,682
3bbdee8b,666
68fafdce,548
e9840104,992
61ac92b2,605
f1f04288,682
e2d5cb6d,866
0036bf56,843
3af377ae,627
aeb4952e,698
82859246,1006
41ce2f19,982
67393df4,677
89b65f99,933
c165f860,793
cfb2b2ce,1010
b27723ce,985
2a15f34c,645
a3c4c32c,884
03103d0a,558
65786cda,530
16dcfc45,943
323a4922,996
1e7e9a83,695
dfb08fd7,933
706178da,813
f709f845,869
a63f9df0,862
721e5485,781
2d4d702b,702
923341d4,666
90656ed7,854
9801b622,658
cde9b6d5,580
c13ad0f7,510
888fa839,1012
33376cdc,712
3d825a18,664
432b8b99,994
53860703,773
aaa86245,906
42e15607,611
da8c61a6,629
385756a8,988
74010e75,900
cf63e4ee,814
9525bbca,817
5c9791f5,930
0a918b73,671
2a5adc46,575
b7072637,890
071ab99a,813
691f4419,860
fc72cf8d,602
26ff20af,551
4eb4251c,698
0c0feba6,863
aec6814e,874
449433f8,933
74d9bf8b,795
286d17e8,701
0750ed01,692
6aea699c,735
c5b95473,698
cbf19027,694
4db2f934,572
079ae20d,742
7d3ee5bf,795
23c7deef,773
c002b84b,911
e6e0c355,974
da66c9cf,515
48d376db,654
68e1538d,917
c972b30e,523
45e6088c,656
c75bc850,629
b4269767,660
c753f4b8,676
7948c1ea,955
c822c24f,787
7b57eda1,811
19abd424,890
05755e27,837
9f32f8a7,591
6b0b47f3,592
ccec2212,822
43172ca6,750
08c7bd6b,895
ddec2282,874
e834e863,617
e4076ae8,908
a5db441b,664
f98ee0de,862
3e46937a,826
1a2687e4,555
8d52f2b8,709
b32bf736,867
ff8f3745,706
80ae3140,587
1d3e1da9,610
ba6bf354,798
84eff890,912
